### failures: aiden, no zip limits (library default)
f1-not-a-zip: FAIL Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html | slides - shown 0  | total 1 ms (parse undefined, build undefined, render undefined) wall 3 | heap 1.8->1.8 MB, peak RSS 295.4 MB | csp 0 | node errors 0
f2-truncated: FAIL Corrupted zip: can't find end of central directory | slides - shown 0  | total 2 ms (parse undefined, build undefined, render undefined) wall 4 | heap 1.8->1.8 MB, peak RSS 296.5 MB | csp 0 | node errors 0
f3-decompression-bomb: ok | slides 5 shown 5 1280x720 | total 5163 ms (parse 3721, build 1404, render 26) wall 5167 | heap 1.8->3 MB, peak RSS 3591 MB | csp 0 | node errors 0
f4-bomb-lying-size: FAIL Bug : uncompressed data size mismatch | slides - shown 0  | total 1942 ms (parse undefined, build undefined, render undefined) wall 1945 | heap 1.8->2.2 MB, peak RSS 939.2 MB | csp 0 | node errors 0
f5-password-protected: FAIL Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html | slides - shown 0  | total 1 ms (parse undefined, build undefined, render undefined) wall 2 | heap 1.8->1.8 MB, peak RSS 298.5 MB | csp 0 | node errors 0
### failures: aiden, RECOMMENDED_ZIP_LIMITS
f1-not-a-zip: FAIL Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html | slides - shown 0  | total 1 ms (parse undefined, build undefined, render undefined) wall 2 | heap 1.8->1.8 MB, peak RSS 295.2 MB | csp 0 | node errors 0
f2-truncated: FAIL Corrupted zip: can't find end of central directory | slides - shown 0  | total 1 ms (parse undefined, build undefined, render undefined) wall 2 | heap 1.8->1.8 MB, peak RSS 297.5 MB | csp 0 | node errors 0
f3-decompression-bomb: FAIL PPTX zip limit exceeded: ppt/slides/slide1.xml is 528483324 bytes > maxEntryUncompressedBytes 33554432 | slides - shown 0  | total 2 ms (parse undefined, build undefined, render undefined) wall 5 | heap 1.8->1.9 MB, peak RSS 308.4 MB | csp 0 | node errors 0
f4-bomb-lying-size: FAIL Bug : uncompressed data size mismatch | slides - shown 0  | total 2208 ms (parse undefined, build undefined, render undefined) wall 2214 | heap 1.8->2.2 MB, peak RSS 778.2 MB | csp 0 | node errors 0
f5-password-protected: FAIL Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html | slides - shown 0  | total 1 ms (parse undefined, build undefined, render undefined) wall 3 | heap 1.8->1.8 MB, peak RSS 298.1 MB | csp 0 | node errors 0
### failures: pptx-preview
f1-not-a-zip: FAIL Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html | slides - shown 0  | total 1 ms (parse undefined, build undefined, render undefined) wall 1 | heap 2.2->2.3 MB, peak RSS 301.1 MB | csp 0 | node errors 0
f2-truncated: FAIL Corrupted zip: can't find end of central directory | slides - shown 0  | total 1 ms (parse undefined, build undefined, render undefined) wall 2 | heap 2.2->2.3 MB, peak RSS 294.6 MB | csp 0 | node errors 0
f3-decompression-bomb: ok | slides 5 shown 5 1280x720 | total 2574 ms (parse undefined, build undefined, render 2541) wall 2603 | heap 2.2->1011.6 MB, peak RSS 1898.4 MB | csp 0 | node errors 0
f4-bomb-lying-size: ok | slides 0 shown 0  | total 2136 ms (parse undefined, build undefined, render 2096) wall 2138 | heap 2.2->3.2 MB, peak RSS 944.7 MB | csp 0 | node errors 0
f5-password-protected: FAIL Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html | slides - shown 0  | total 1 ms (parse undefined, build undefined, render undefined) wall 2 | heap 2.2->2.3 MB, peak RSS 300.2 MB | csp 0 | node errors 0
